,Virginia,California,Florida,New Jersey,Texas,New York,Colorado,Massachusetts,Nevada,Arizona,Oregon,North Carolina,the District of Columbia,Washington,Wisconsin,Hawaii,Utah,Michigan,South Carolina,Minnesota,Tennessee,Georgia,New Hampshire,Illinois,Vermont,Iowa,Missouri,Maryland,Rhode Island,Indiana,Montana,Wyoming,Pennsylvania,Oklahoma,West Virginia,Delaware,Alabama,Connecticut,Ohio,Kansas,South Dakota,Idaho,North Dakota,Nebraska,Mississippi,New Mexico,Arkansas,Alaska,Louisiana,Kentucky,Maine
2000-01-01,117518.41973382703,185512.70019967412,104157.34730018972,160950.7711666137,107138.91990739021,130750.23648222424,170961.22906100153,192287.07502661183,155498.72671446681,132093.9415382357,147429.1097607976,120566.60058269718,147306.543883331,171527.38740554365,114132.30346913401,174124.63654372052,164174.6653142203,106865.52416352656,105164.24455919967,119121.75773051508,99534.95736006834,116865.73024474707,129545.98402618866,115108.02868942315,103480.60927381134,78553.99288169119,87363.69640547191,143741.31934043294,131148.2876926525,93223.51407461941,,,91765.74181962585,72557.61284030273,60731.84647740692,134159.1864021242,83895.1932306424,162636.14731108802,100796.2114575304,70954.55662439464,95168.71478941911,116746.09169913946,,110056.43137324306,73421.0172578954,,77688.4426476356,126586.32675287306,93720.42130534415,84417.988733453,99572.79834965704
2000-02-01,117820.67387065702,186137.77149682125,104383.30444220034,161385.73584305996,107195.82214960712,131216.55037134324,171568.68654854776,192929.4960513145,155518.16064535177,132333.46004884705,147753.8476665372,120746.97805863514,147791.54402144894,171916.26234609302,114097.88322115476,174047.1944346843,164262.70589449885,106918.76686405021,105396.0653557808,119521.03754299639,99619.29701998006,117129.8004377953,129985.00975080716,115201.33881452697,103650.27245790866,78707.51286967983,87466.04770590915,143720.83233353356,131746.0490243034,93094.18606206455,,,91962.15138824028,72591.42996918804,60730.6547217633,134368.63790107978,84040.65021143213,163254.6858652075,100857.30022440989,70962.94458010001,94958.7751378495,116676.2874912407,,110232.23851771704,73378.45744848206,,77792.50754882488,126730.85620099079,93903.40833574621,84454.75365112336,99903.30571222099
2000-03-01,118141.3022480489,186980.57602075546,104656.8576879216,161799.8123136283,107222.6566635936,131664.90083841485,172239.03227262307,193694.0612807197,155759.4373890335,132641.61797910006,148049.89755150085,120933.04240579686,148463.54475799762,172310.56351286088,114224.75646166432,174316.34862115444,164401.17488298714,107128.81225123342,105584.8247813324,119892.00847660443,99705.40639058757,117434.91853853561,130511.08568611405,115401.92180034152,103921.21604269811,78850.39320300925,87618.92027145573,143821.86944031957,132370.69035407374,92948.44143574625,,,92146.7037505826,72733.09748861745,60751.97685524604,134628.59713462714,84138.04087171626,163900.39652649753,100949.68727625057,71041.38964826462,94671.84696871148,116721.82305497314,,110395.18094419972,73374.70644027156,,77912.22315790625,126874.62645673659,94045.39289715332,84528.09817731233,100199.35999731974
2000-04-01,118747.24191570765,188809.32342608718,105212.65417075099,162716.7848324041,107360.10986114136,132628.67661555848,173737.63497552284,195199.73551686876,156312.31297738294,133270.74647822834,148671.00212653447,121337.71464503017,149914.3152237448,173105.98057526778,114406.81180864415,174782.57274824198,164750.03739172363,107548.30368315491,106017.82146277996,120763.81321804503,99911.64809622592,118077.60445283646,131301.2641847967,115872.84702550447,104454.44850396155,79157.59492196824,87968.5077642483,144065.28875809108,133603.67007106656,92504.19690211373,,,92522.7210470744,72990.5261155957,60805.09689325796,135223.04692307053,84356.27510006733,164994.28808295302,101222.37370928866,71157.68913142935,94283.77940214986,116815.80514119928,,110649.71412774558,73424.33123013754,,78168.67273310303,127043.32293694057,94364.69303825918,84714.70616815459,100852.24457726942
2000-05-01,119333.10965451575,190933.31408404824,105811.61887749145,163650.0212480823,107448.46441555936,133623.95972741334,175409.464238657,196829.53114492304,157016.65240325723,133983.81260358947,149224.21332738406,121790.63647523451,151522.5280474231,173971.78671307486,114772.26378898381,175685.9467148066,166031.38862671124,108174.65109040414,106422.3096012838,121720.9276532228,100148.67374200125,118787.37838537146,132168.00430636012,116431.69076673618,105071.9605240284,79492.66920112894,88420.02975976926,144579.90938865428,134833.87602918423,92288.89580272038,,,92908.95268984554,73331.99097752625,60905.9901280425,135900.37509202378,84599.8357026616,165893.41275465884,101639.0732025318,71339.85950840636,94123.9083663459,117119.21962037489,,110779.9567195465,73680.10885010175,,78425.35367306603,127296.63782953315,94701.27648597777,84969.70862973052,101469.1441630679
2000-06-01,119900.30712006245,193224.45942176483,106422.77096315699,164764.40320383632,107548.51935123051,134699.87029486182,177215.1317810268,198594.98028603123,157648.4500181259,134625.2171441779,149737.88135998428,122274.63271509141,153270.76678015038,174798.54278456498,115201.9226984016,176705.44261101136,167446.07484843043,108867.6379428723,106868.35297259175,122829.32954549784,100383.05486569786,119540.30398777826,133083.317743955,117060.03190877456,105648.91557584984,79829.3687084107,88919.24325897275,145205.9131908258,135777.63864026152,92354.68019954312,,,93305.8201897529,73654.04652581568,61071.30675457988,136647.7316363037,84894.49913661116,166784.9688653059,102157.33249516191,71547.9725827822,94015.98152107623,117489.25797012814,,110857.92735493991,74048.43251048027,,78675.53966331705,127486.32254288533,95066.49257451565,85254.75852700391,102161.76954591181
2000-07-01,120590.41025229939,195644.36055038194,107037.07759657605,166026.44034368926,107614.5634866572,135667.11274801896,179045.31447897173,200683.50261579663,158137.33283511747,135277.8672543345,150165.85131439648,122749.1389980087,154936.78763451,175698.012607393,115771.2041223996,177725.3819555732,168866.26409795476,109681.08404383133,107301.54872589426,124050.39712506397,100635.74992405278,120301.859598184,134351.57436913697,117742.20189165161,106222.42809827096,80171.51635039086,89462.09094371577,145947.6931317452,136643.79912843497,92817.05571689404,,,93727.23396122508,73986.61692399751,61287.46010543767,137408.29630055607,85167.5576433217,167782.5300293019,102670.52974331604,71820.63938182693,93941.72481029585,117854.80412566243,,110946.1825579852,74389.6338702833,,78919.88733982644,127882.6544342257,95422.21006199846,85580.33454269716,102905.66593062074
2000-08-01,121404.90566235354,198172.11641747088,107662.80927561845,167561.06677271015,107812.62327674363,136514.14092844934,181037.43131914877,203252.8373165947,158607.84775757618,135902.5757795399,150623.18265647674,123198.29890226813,156372.81595270324,176529.94390145037,116400.5572786893,178911.76702757203,169450.75874124494,110505.53368884651,107778.66034586412,125724.68579693626,100895.82746065462,121107.48535205983,135835.5694121246,118707.11997375404,106813.59876256184,80464.62482205061,90047.73097928158,146633.66238442098,137508.07739464074,93291.55729229543,,,94129.39602334924,74295.4425146181,61568.879206217185,138148.36089556196,85414.78212654572,168989.91662240142,103170.11495451874,72118.03855693742,93804.50313115031,118223.96688294511,,111156.38656929124,74716.1969692401,,79197.25609093832,128069.89342256363,95702.0379696361,85955.86816611986,103678.37043094709
2000-09-01,122295.25510032312,200706.98656309265,108311.28485855379,169258.1343775974,108073.37539742376,137265.97329877305,183129.11389231533,206139.19763432178,159174.001139246,136591.31389841728,151007.6951627771,123638.08376609023,157447.6002921449,177287.77574574086,117030.99053176948,180084.65305152952,169962.94936295817,111295.89305823566,108271.24276988638,127456.9893110274,101205.88658863919,121931.37590780224,137428.30232499333,119839.80984323699,107465.44226585589,80771.60404890258,90637.80866587585,147330.8979149796,138565.9982975659,93659.73943282402,,,94539.11840012408,74575.5338303267,61821.49940377881,138831.5015117243,85681.42831928992,170261.62576257,103661.65997555053,72397.96782693228,94001.1551308791,118532.9260513155,,111412.85681664491,75007.85781535888,,79511.46064002773,128237.56522704712,96022.24513454539,86374.63992231942,104481.33917468919
2000-10-01,123138.17547838109,203110.3750662237,108973.23873614373,170974.0420626631,108353.79608743633,138073.28108290423,185206.57148222797,209187.85766197168,159810.59236390088,137254.25853612015,151394.003348535,124103.865850194,157722.70677046472,177948.2789395984,117648.2677575595,181311.87503880705,170397.15256330167,112035.46708413125,108755.92389964235,129230.87881909241,101505.44462889706,122788.110722746,139259.45946974197,121144.28513580667,108248.7722577628,81151.43548207096,91265.85040267557,148065.93499737303,139625.69644108787,94105.77789884496,,,94932.05884282912,74825.26203411866,62112.97423633461,139441.56799687535,85987.84972432275,171653.36991303507,104137.13016661517,72685.14336592406,94221.93537836887,118831.54053752993,,111682.03944996627,75411.47989925393,,79828.58218028753,128180.06369872687,96401.82067253675,86767.96528730624,105239.69249909419
2000-11-01,123990.67473998282,205475.4767941865,109661.69543221737,172504.77269125622,108677.86823481579,139065.81039249673,187200.6981054373,212133.10826370065,160548.07933869294,137894.81712989768,151783.83902049327,124628.48162602457,157994.60872566837,178617.35332828527,118222.0316399394,182109.05359198852,170936.32511647962,112800.52880474657,109238.3504928981,130708.47707066829,101832.84585112082,123637.4429479107,141015.59732267834,122141.11850321731,109043.94830663041,81533.66893570345,91948.25331908812,148827.1072506229,140641.76164584412,94633.78949499402,,,95365.54877346563,75113.34804951718,62493.51932975475,140191.38460724012,86334.72115373534,173059.30699706738,104601.74853225965,72997.19023322458,94261.37713065791,119069.7536437685,,111991.95035875948,75839.05142676084,,80233.52892707002,128308.91910834056,96902.76132674229,87185.21929853066,106150.69535957034
